STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2006,,447.488,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2007,,504.109,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2008,,478.752,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2009,,492.611,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2010,,549.637,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2011,,607.193,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2012,,512.123,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2013,,562.548,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2014,,615.278,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2015,,645.804,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2016,,675.131,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2017,,759.059,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2018,,806.565,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2019,,851.708,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2020,,799.57,,2015,,F,Libre (libre pour publication),1,One,P,Provisional value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1995,,3225.91,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1996,,3292.095,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1997,,3509.56,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1998,,4078.836,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1999,,4072.015,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2000,,4591.882,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2001,,5356.805,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2002,,5529.236,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2003,,6472.805,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2004,,7806.41,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2005,,8835.26,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2006,,9926.31,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2007,,10939.382,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2008,,11290.262,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2009,,9611.789,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,SVK,République slovaque,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2010,,12415.903,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
